campaign_id,date,geo,city,profession,price_range,language,channel,campaign_type,impressions,clicks,conversions,spend_usd,revenue_usd,roi,quality_score
MC-12110,2024-04-01,US,New York,Accountant,premium,English,email,acquisition,34914,816,22,4127.91,77423.07,18.756,7.0
MC-11229,2024-04-01,IN,Hyderabad,Writer,premium,Hindi,search,acquisition,228162,15542,704,712.37,2204437.48,3094.512,3.0
MC-10217,2024-04-01,GB,Bristol,Sales Rep,premium,English,search,acquisition,71884,6270,467,1157.49,1208463.41,1044.0379,1.0
MC-10603,2024-04-01,FR,Marseille,Researcher,mid,French,social_media,acquisition,43747,829,30,395.51,20289.36,51.2992,2.0
MC-12143,2024-04-01,DE,Munich,Marketing Manager,premium,German,social_media,acquisition,77647,1189,74,1472.9,287788.69,195.3892,7.0
MC-11270,2024-04-01,US,Seattle,Lawyer,budget,English,influencer,retention,132573,2506,131,570.37,24282.25,42.5728,9.0
MC-10977,2024-04-01,ES,Bilbao,Sales Rep,budget,Spanish,email,acquisition,48066,1829,52,2875.34,5715.67,1.9878,7.0
MC-11057,2024-04-01,JP,Tokyo,Physician,budget,Japanese,influencer,acquisition,181947,4552,112,1280.57,22449.35,17.5307,3.0
MC-11565,2024-04-01,US,New York,Writer,mid,English,social_media,acquisition,214500,5239,314,901.22,161754.38,179.4838,9.0
MC-10078,2024-04-01,AU,Adelaide,Accountant,premium,English,email,acquisition,27356,649,38,2929.42,163937.16,55.9623,6.0
MC-10316,2024-04-01,FR,Bordeaux,Accountant,budget,French,display,re_engagement,95463,1270,72,1241.33,12580.21,10.1345,4.0
MC-10821,2024-04-01,SG,Singapore,Software Engineer,mid,English,social_media,awareness,102122,1900,100,566.03,118499.77,209.3525,4.0
MC-11665,2024-04-01,IN,Pune,Sales Rep,premium,Hindi,email,acquisition,17555,525,9,2916.17,25982.35,8.9098,9.0
MC-11411,2024-04-01,US,Phoenix,Sales Rep,mid,English,search,acquisition,3180,214,7,2139.92,3979.0,1.8594,3.0
MC-12445,2024-04-01,GB,Bristol,Architect,mid,English,search,acquisition,87481,6273,158,1465.43,152827.14,104.2883,5.0
MC-11439,2024-04-01,US,San Francisco,HR Manager,premium,English,search,re_engagement,58895,4187,282,860.2,901327.02,1047.811,9.0
MC-10802,2024-04-01,US,New York,Researcher,budget,English,content_marketing,retention,12728,238,10,4212.63,1443.27,0.3426,9.0
MC-11070,2024-04-01,IN,Kolkata,Product Manager,mid,Hindi,email,acquisition,10716,348,7,1870.74,4640.68,2.4807,6.0
MC-10993,2024-04-01,FR,Bordeaux,Architect,budget,French,influencer,re_engagement,35841,1008,75,1818.97,13274.42,7.2978,3.0
MC-11930,2024-04-01,IN,Pune,Lawyer,mid,Hindi,email,acquisition,22522,840,12,2479.74,15646.2,6.3096,2.0
MC-10855,2024-04-01,US,Houston,Marketing Manager,budget,English,email,re_engagement,9783,345,17,4127.46,3048.42,0.7386,2.0
MC-10464,2024-04-01,NL,Amsterdam,Physician,budget,Dutch,display,acquisition,194769,2801,166,944.46,30043.93,31.8107,5.0
MC-12393,2024-04-01,DE,Berlin,Accountant,budget,German,content_marketing,re_engagement,16911,320,9,4711.06,1455.12,0.3089,
MC-11947,2024-04-01,IL,Tel Aviv,Software Engineer,premium,Hebrew,influencer,re_engagement,220311,4686,201,1475.15,1254987.23,850.7523,1.0
MC-10618,2024-04-01,IN,Pune,Researcher,premium,Hindi,social_media,re_engagement,52107,795,35,1475.32,156543.64,106.1083,
MC-11879,2024-04-01,US,Phoenix,Teacher,premium,English,email,acquisition,15735,461,28,2040.69,91945.6,45.0561,
MC-11563,2024-04-02,US,Houston,Writer,mid,English,email,retention,1000,29,1,6329.73,619.06,0.0978,9.0
MC-10685,2024-04-02,US,Chicago,Designer,mid,English,social_media,acquisition,41537,1078,36,61.24,16475.41,269.0302,5.0
MC-12773,2024-04-02,GB,Bristol,Software Engineer,mid,English,search,retention,17407,1236,68,886.89,73604.22,82.9914,6.0
MC-10332,2024-04-02,US,Los Angeles,HR Manager,budget,English,email,retention,104597,2625,122,1027.76,10848.64,10.5556,4.0
MC-11325,2024-04-02,AU,Brisbane,Lawyer,budget,English,influencer,awareness,227421,7299,212,464.56,46466.86,100.0234,4.0
MC-12856,2024-04-02,CA,Ottawa,Researcher,budget,English,influencer,acquisition,12796,357,25,2304.71,3194.08,1.3859,5.0
MC-10637,2024-04-02,DE,Frankfurt,Product Manager,premium,German,social_media,retention,500000,8325,303,1171.16,1437038.86,1227.0218,1.0
MC-12861,2024-04-02,MX,Guadalajara,Marketing Manager,budget,Spanish,social_media,re_engagement,285795,6481,207,1093.77,29888.88,27.3265,1.0
MC-12785,2024-04-02,US,Phoenix,Researcher,mid,English,social_media,awareness,30235,508,10,2949.92,7649.87,2.5932,10.0
MC-11911,2024-04-02,US,Chicago,Architect,budget,English,influencer,awareness,23679,471,5,2169.39,1207.82,0.5568,8.0
MC-11588,2024-04-02,CA,Vancouver,Writer,budget,English,content_marketing,acquisition,15624,213,13,2112.32,1355.27,0.6416,4.0
MC-11966,2024-04-02,US,San Francisco,Accountant,premium,English,email,awareness,65346,2211,134,2843.84,434555.79,152.806,3.0
MC-12047,2024-04-02,DE,Stuttgart,Designer,budget,German,influencer,acquisition,25689,590,7,217.95,852.02,3.9092,5.0
MC-12931,2024-04-02,US,San Francisco,Consultant,budget,English,social_media,acquisition,309092,7165,552,1374.52,94039.08,68.4159,8.0
MC-12466,2024-04-02,FR,Nice,Designer,mid,French,display,awareness,209820,3069,108,1493.01,57555.79,38.5502,3.0
MC-11427,2024-04-02,IN,Pune,Teacher,mid,Hindi,email,re_engagement,1761,40,0,2441.27,0.0,0.0,3.0
MC-10409,2024-04-02,IN,Pune,Teacher,budget,Hindi,search,retention,99694,6845,389,1173.7,48630.52,41.4335,1.0
MC-10431,2024-04-02,GB,Leeds,Teacher,mid,English,search,acquisition,170351,13475,482,2158.29,264847.35,122.7117,6.0
MC-12660,2024-04-02,IN,Bangalore,Consultant,budget,Hindi,influencer,acquisition,20008,564,28,2978.02,3569.47,1.1986,7.0
MC-11483,2024-04-02,US,Seattle,Physician,mid,English,social_media,retention,80142,1524,32,2301.78,41671.84,18.1042,8.0
MC-12963,2024-04-02,US,San Francisco,Lawyer,mid,English,display,acquisition,57819,508,35,1261.2,33713.21,26.7311,7.0
MC-11639,2024-04-02,CA,Calgary,Software Engineer,budget,English,social_media,retention,500000,7912,344,277.81,81552.32,293.5543,5.0
MC-11363,2024-04-02,SG,Singapore,Writer,mid,English,social_media,awareness,21752,562,36,283.73,21880.72,77.1181,3.0
MC-11747,2024-04-02,MX,Mexico City,Teacher,budget,Spanish,email,awareness,66060,1989,38,15069.37,3354.43,0.2226,1.0
MC-11904,2024-04-02,IN,Hyderabad,Data Scientist,budget,Hindi,social_media,awareness,103147,2126,155,411.03,35650.45,86.7344,9.0
MC-12179,2024-04-02,CA,Toronto,Consultant,mid,English,search,retention,14939,1153,85,272.67,71589.1,262.5485,7.0
MC-12430,2024-04-03,CA,Montreal,Teacher,budget,English,social_media,re_engagement,9302,241,4,4239.9,445.74,0.1051,1.0
MC-11417,2024-04-03,NL,The Hague,Designer,budget,Dutch,email,acquisition,3463,131,6,1506.5,509.7,0.3383,8.0
MC-12435,2024-04-03,US,San Francisco,Architect,budget,English,display,acquisition,95724,1350,78,2544.07,16401.07,6.4468,2.0
MC-10290,2024-04-03,ES,Madrid,Writer,budget,Spanish,social_media,retention,43387,906,13,560.71,1382.2,2.4651,3.0
MC-12443,2024-04-03,CA,Montreal,Accountant,mid,English,email,acquisition,58356,1280,99,1881.58,75947.19,40.3635,8.0
MC-10117,2024-04-03,US,Phoenix,Consultant,mid,English,content_marketing,retention,4464,103,4,2017.39,3658.38,1.8134,7.0
MC-11924,2024-04-03,IN,Mumbai,Marketing Manager,budget,Hindi,email,awareness,4152,89,1,1753.59,168.47,0.0961,6.0
MC-10629,2024-04-03,NL,Rotterdam,Teacher,budget,Dutch,social_media,retention,65130,988,16,15013.59,1936.61,0.129,
MC-12592,2024-04-03,DE,Stuttgart,Researcher,mid,German,social_media,acquisition,272915,4304,283,727.82,245640.86,337.5022,6.0
MC-12520,2024-04-03,US,Los Angeles,Consultant,mid,English,email,retention,31435,901,37,3204.83,33543.02,10.4664,9.0
MC-11909,2024-04-03,US,Chicago,Software Engineer,budget,English,influencer,retention,36955,1020,29,1186.46,7093.17,5.9784,4.0
MC-10830,2024-04-03,DE,Stuttgart,Accountant,mid,German,search,awareness,9721,571,29,3054.6,21691.92,7.1014,9.0
MC-11406,2024-04-03,SG,Singapore,Consultant,budget,English,content_marketing,retention,24240,329,6,18084.57,825.55,0.0456,6.0
MC-10195,2024-04-03,JP,Osaka,Architect,mid,Japanese,display,awareness,64491,676,10,1779.53,11054.28,6.2119,9.0
MC-12091,2024-04-03,FR,Toulouse,Physician,budget,French,search,awareness,83183,5015,84,5609.75,15273.95,2.7228,5.0
MC-10226,2024-04-03,MX,Guadalajara,Product Manager,mid,Spanish,influencer,acquisition,92863,1741,120,347.93,77751.11,223.4677,9.0
MC-12805,2024-04-03,BR,Fortaleza,Teacher,premium,Portuguese,display,retention,189156,2655,88,1377.03,282467.95,205.1284,8.0
MC-12025,2024-04-03,GB,Glasgow,Marketing Manager,premium,English,social_media,retention,94912,2281,138,2175.87,544251.72,250.1306,6.0
MC-12195,2024-04-03,BR,Rio de Janeiro,Data Scientist,mid,Portuguese,search,acquisition,25589,1798,50,2034.56,51754.12,25.4375,10.0
MC-12678,2024-04-03,SG,Singapore,Physician,mid,English,social_media,acquisition,470527,7517,439,902.49,569541.33,631.0777,1.0
MC-10587,2024-04-03,US,New York,Teacher,mid,English,social_media,retention,126372,3262,71,5615.45,35105.86,6.2517,2.0
MC-12794,2024-04-03,US,New York,Consultant,mid,English,content_marketing,retention,4516,66,2,3456.75,1503.01,0.4348,6.0
MC-11108,2024-04-03,ZA,Durban,Designer,budget,Afrikaans,display,awareness,25671,312,6,2107.37,750.87,0.3563,2.0
MC-10532,2024-04-03,DE,Stuttgart,Teacher,premium,German,email,retention,2971,108,2,3557.66,5007.37,1.4075,9.0
MC-12052,2024-04-03,FR,Lyon,Physician,mid,French,display,retention,91026,1357,60,26747.87,79660.38,2.9782,9.0
MC-12709,2024-04-03,DE,Berlin,Lawyer,premium,German,display,awareness,4059,52,3,2596.64,18239.82,7.0244,1.0
MC-12223,2024-04-03,IN,Delhi,Researcher,premium,Hindi,social_media,acquisition,500000,10309,802,1086.81,2653701.11,2441.7342,5.0
MC-11350,2024-04-03,CA,Toronto,Sales Rep,premium,English,display,retention,23997,303,6,686.81,14928.25,21.7356,4.0
MC-10681,2024-04-03,ES,Barcelona,Physician,mid,Spanish,influencer,awareness,10123,292,7,545.05,6538.58,11.9963,6.0
MC-12148,2024-04-03,US,New York,Designer,premium,English,social_media,acquisition,35800,684,19,574.93,55433.1,96.4171,9.0
MC-12630,2024-04-03,FR,Bordeaux,Marketing Manager,budget,French,social_media,retention,149770,3775,141,228.82,23963.42,104.7261,6.0
MC-12535,2024-04-03,US,San Francisco,Researcher,mid,English,social_media,awareness,82455,1797,61,450.28,39871.63,88.5485,4.0
MC-10021,2024-04-03,IL,Haifa,Researcher,mid,Hebrew,email,acquisition,39775,1388,26,648.14,24814.7,38.286,6.0
MC-12892,2024-04-03,US,Los Angeles,Physician,mid,English,email,acquisition,25082,535,11,2332.59,12964.73,5.5581,10.0
MC-10915,2024-04-03,US,Los Angeles,Designer,budget,English,search,acquisition,500000,37189,1654,874.66,179236.63,204.9215,6.0
MC-11679,2024-04-03,GB,Bristol,Data Scientist,premium,English,display,re_engagement,247530,2456,138,1026.34,746745.37,727.5809,6.0
MC-11736,2024-04-03,ZA,Cape Town,Designer,mid,Afrikaans,email,awareness,9516,229,13,2626.53,7059.95,2.6879,6.0
MC-10028,2024-04-03,US,New York,Lawyer,mid,English,search,awareness,174023,12393,475,537.0,556147.32,1035.6561,8.0
MC-12877,2024-04-03,IN,Chennai,Lawyer,mid,Hindi,search,re_engagement,15593,1133,88,2023.18,95918.41,47.4097,2.0
MC-11037,2024-04-03,GB,Bristol,Researcher,mid,English,email,awareness,51864,1657,122,446.12,93755.38,210.1573,3.0
MC-10036,2024-04-03,ES,Seville,Sales Rep,mid,Spanish,display,awareness,401097,5274,387,10428.76,186672.6,17.8998,4.0
MC-11262,2024-04-03,IN,Hyderabad,Teacher,mid,Hindi,email,awareness,47419,1215,60,10925.78,31405.62,2.8745,5.0
MC-10952,2024-04-03,GB,Leeds,Accountant,mid,English,social_media,acquisition,500000,8579,172,10677.5,164218.3,15.3798,5.0
MC-11617,2024-04-03,GB,Manchester,Designer,mid,English,email,acquisition,148009,3470,185,1389.12,83044.78,59.7823,1.0
MC-12035,2024-04-04,FR,Paris,Designer,mid,French,display,acquisition,45957,557,41,3379.94,23818.63,7.0471,1.0
MC-10164,2024-04-04,IL,Netanya,Marketing Manager,premium,Hebrew,email,acquisition,31824,1231,26,1348.11,115715.73,85.8355,6.0
MC-11169,2024-04-04,IN,Pune,Sales Rep,budget,Hindi,social_media,acquisition,92445,1900,146,4525.53,16104.02,3.5585,5.0
MC-11708,2024-04-04,IN,Mumbai,Physician,mid,Hindi,content_marketing,acquisition,33094,608,27,5694.46,33530.74,5.8883,3.0
MC-10414,2024-04-04,US,Chicago,Marketing Manager,budget,English,email,retention,4898,132,6,2503.32,948.45,0.3789,4.0
MC-11099,2024-04-04,BR,Rio de Janeiro,Consultant,mid,Portuguese,email,re_engagement,10420,391,23,3850.82,18214.36,4.73,2.0
MC-12436,2024-04-04,US,Chicago,Software Engineer,mid,English,influencer,acquisition,192808,4391,149,6285.4,148650.92,23.6502,9.0
MC-12404,2024-04-04,US,Los Angeles,Architect,mid,English,social_media,acquisition,206105,4199,107,1042.08,124611.97,119.58,4.0
MC-12082,2024-04-04,IN,Mumbai,Product Manager,mid,Hindi,influencer,retention,144862,4490,180,1671.2,142771.19,85.4303,2.0
MC-10426,2024-04-04,IN,Chennai,Lawyer,budget,Hindi,content_marketing,acquisition,20908,453,9,1290.86,1988.8,1.5407,
MC-12382,2024-04-04,BR,São Paulo,Sales Rep,budget,Portuguese,email,awareness,9220,276,7,3789.96,732.36,0.1932,3.0
MC-11448,2024-04-04,DE,Stuttgart,HR Manager,premium,German,search,awareness,22397,1797,36,6116.48,106417.85,17.3985,7.0
MC-12762,2024-04-04,US,Los Angeles,Teacher,mid,English,search,awareness,241058,14535,519,6874.16,254186.99,36.9772,3.0
MC-10055,2024-04-04,IN,Pune,HR Manager,premium,Hindi,social_media,awareness,133775,2635,121,2135.46,372679.0,174.5193,9.0
MC-10454,2024-04-04,IN,Delhi,Marketing Manager,mid,Hindi,content_marketing,retention,34021,682,27,1778.19,18133.71,10.1978,5.0
MC-11414,2024-04-04,AU,Adelaide,Designer,mid,English,search,retention,6294,421,8,3887.01,3595.62,0.925,8.0
MC-12746,2024-04-04,IN,Kolkata,Writer,premium,Hindi,search,acquisition,147251,8684,277,2407.08,656207.19,272.6154,2.0
MC-11771,2024-04-04,IN,Delhi,Product Manager,premium,Hindi,content_marketing,acquisition,28781,593,8,1679.05,27045.54,16.1076,8.0
MC-12174,2024-04-04,ZA,Cape Town,Designer,mid,Afrikaans,social_media,awareness,34330,825,50,365.72,33578.76,91.8155,5.0
MC-11748,2024-04-04,US,Houston,Physician,budget,English,social_media,awareness,36620,885,54,1315.72,11116.83,8.4492,5.0
MC-10606,2024-04-04,ES,Valencia,Architect,premium,Spanish,social_media,awareness,40010,965,12,1774.16,63287.2,35.6716,4.0
MC-10604,2024-04-04,US,San Francisco,Physician,budget,English,social_media,retention,41232,633,19,899.01,3676.5,4.0895,9.0
MC-10214,2024-04-04,US,Los Angeles,HR Manager,premium,English,email,acquisition,129311,3147,242,3057.24,602895.44,197.2025,2.0
MC-10583,2024-04-04,US,Chicago,Designer,budget,English,social_media,acquisition,61182,873,9,329.85,937.18,2.8412,10.0
MC-12263,2024-04-04,IN,Kolkata,Consultant,mid,Hindi,social_media,acquisition,147852,2631,79,8266.58,74901.72,9.0608,2.0
MC-11033,2024-04-04,IN,Hyderabad,Sales Rep,budget,Hindi,social_media,acquisition,11555,225,13,3564.08,1600.24,0.449,1.0
MC-11777,2024-04-04,US,New York,Data Scientist,mid,English,display,acquisition,5964,54,2,4680.13,2608.8,0.5574,6.0
MC-12005,2024-04-04,GB,Leeds,Physician,premium,English,social_media,awareness,25892,477,35,1858.79,188876.32,101.6125,4.0
MC-11555,2024-04-04,SG,Singapore,HR Manager,premium,English,content_marketing,acquisition,47771,1079,28,1456.16,69021.31,47.3995,4.0
MC-12475,2024-04-04,IL,Netanya,Sales Rep,budget,Hebrew,email,acquisition,8287,213,15,1261.0,1424.27,1.1295,1.0
MC-12530,2024-04-04,US,San Francisco,Accountant,budget,English,social_media,awareness,227640,5401,185,29264.26,30211.76,1.0324,8.0
MC-12814,2024-04-04,NL,The Hague,Sales Rep,mid,Dutch,influencer,acquisition,58591,1371,81,2030.13,50351.11,24.8019,10.0
MC-11654,2024-04-04,DE,Frankfurt,Software Engineer,budget,German,content_marketing,acquisition,11903,185,4,2857.66,968.3,0.3388,8.0
MC-10776,2024-04-04,GB,Birmingham,Product Manager,budget,English,email,awareness,11918,262,13,1189.05,2329.0,1.9587,1.0
MC-12866,2024-04-04,US,Seattle,Lawyer,mid,English,email,awareness,11474,274,8,1042.91,8937.38,8.5697,
MC-11322,2024-04-04,BR,Fortaleza,Product Manager,budget,Portuguese,social_media,retention,25652,448,34,1574.63,4907.52,3.1166,10.0
MC-11969,2024-04-04,CA,Toronto,Product Manager,mid,English,email,acquisition,72497,2435,120,2951.55,87950.48,29.7981,5.0
MC-12855,2024-04-05,SG,Singapore,Physician,budget,English,search,acquisition,122557,9550,511,6869.62,112353.9,16.3552,9.0
MC-10056,2024-04-05,US,Phoenix,Software Engineer,mid,English,social_media,acquisition,22007,549,28,3186.84,28205.67,8.8507,8.0
MC-10912,2024-04-05,US,New York,Designer,mid,English,social_media,acquisition,264995,5069,217,50000.0,140212.99,2.8043,7.0
MC-11890,2024-04-05,FR,Marseille,Consultant,mid,French,social_media,acquisition,15700,272,11,331.08,9321.91,28.1561,5.0
MC-12123,2024-04-05,US,San Francisco,Sales Rep,budget,English,email,awareness,8501,264,9,6475.96,1034.92,0.1598,5.0
MC-12383,2024-04-05,BR,Rio de Janeiro,Consultant,premium,Portuguese,email,retention,64622,2310,143,1318.18,679810.99,515.7194,9.0
MC-11684,2024-04-05,FR,Marseille,Accountant,mid,French,influencer,acquisition,500000,13341,858,1808.97,587121.03,324.561,9.0
MC-11370,2024-04-05,IN,Kolkata,Sales Rep,budget,Hindi,search,acquisition,61186,4817,346,2095.14,34398.31,16.4181,3.0
MC-11368,2024-04-05,US,Los Angeles,Data Scientist,mid,English,email,retention,20493,431,27,1669.28,27402.02,16.4155,10.0
MC-12462,2024-04-05,US,Chicago,Writer,mid,English,email,retention,11820,416,29,1876.39,16944.02,9.0301,6.0
MC-10849,2024-04-05,US,Seattle,Data Scientist,mid,English,email,acquisition,41087,1490,102,333.97,128976.96,386.1933,9.0
MC-12857,2024-04-05,BR,Salvador,Accountant,premium,Portuguese,email,retention,2579,67,1,2975.12,3262.45,1.0966,6.0
MC-11589,2024-04-05,IN,Delhi,Accountant,mid,Hindi,search,awareness,3606,224,7,373.8,4953.89,13.2528,5.0
MC-12497,2024-04-05,US,Houston,HR Manager,budget,English,email,retention,7350,198,7,6481.64,686.92,0.106,7.0
MC-11289,2024-04-05,US,San Francisco,Sales Rep,mid,English,search,re_engagement,35557,3335,48,616.6,28524.15,46.2604,1.0
MC-11742,2024-04-05,IN,Mumbai,HR Manager,premium,Hindi,email,retention,49433,1303,19,4859.31,49034.55,10.0908,10.0
MC-11739,2024-04-05,US,San Francisco,Designer,budget,English,email,retention,158175,6039,417,833.88,46288.58,55.5099,6.0
MC-11128,2024-04-05,AU,Melbourne,Architect,budget,English,display,awareness,126045,1704,98,18961.75,18477.57,0.9745,5.0
MC-11623,2024-04-05,IL,Tel Aviv,Designer,mid,Hebrew,social_media,acquisition,55760,1355,87,291.13,49352.14,169.5193,9.0
MC-12280,2024-04-05,SG,Singapore,Software Engineer,budget,English,search,awareness,216460,19915,530,4108.01,128548.61,31.2922,5.0
MC-10960,2024-04-05,BR,Fortaleza,Teacher,budget,Portuguese,email,retention,1475,54,3,2294.75,368.24,0.1605,7.0
MC-12872,2024-04-05,BR,São Paulo,Software Engineer,budget,Portuguese,content_marketing,awareness,6909,103,1,1961.34,228.99,0.1168,8.0
MC-12514,2024-04-05,US,Los Angeles,Accountant,budget,English,email,acquisition,3751,135,4,1376.76,678.82,0.4931,5.0
MC-10980,2024-04-05,IN,Pune,Data Scientist,mid,Hindi,search,re_engagement,38660,2066,95,1250.11,86480.09,69.178,2.0
MC-11792,2024-04-05,GB,London,Data Scientist,budget,English,search,acquisition,48940,3818,243,1046.6,58772.56,56.1557,10.0
MC-11894,2024-04-05,GB,Leeds,Software Engineer,premium,English,email,acquisition,4737,104,1,649.13,5715.02,8.8041,3.0
MC-11672,2024-04-05,GB,Glasgow,Researcher,mid,English,display,awareness,24984,249,18,2709.24,12832.83,4.7367,1.0
MC-10763,2024-04-05,FR,Paris,Marketing Manager,mid,French,search,retention,35340,2495,183,686.57,148436.1,216.1995,3.0
MC-11248,2024-04-05,ZA,Cape Town,Researcher,mid,Afrikaans,search,re_engagement,246441,17813,296,1150.48,211094.83,183.4841,10.0
MC-12023,2024-04-05,DE,Hamburg,Writer,budget,German,email,awareness,15200,549,19,196.76,2312.62,11.7535,8.0
MC-10156,2024-04-05,IN,Delhi,Writer,budget,Hindi,social_media,re_engagement,83032,1291,31,239.68,3137.0,13.0883,1.0
MC-10381,2024-04-05,US,Seattle,Architect,mid,English,influencer,acquisition,500000,16014,1176,6959.31,1363892.2,195.981,9.0
MC-11304,2024-04-05,US,Los Angeles,Designer,mid,English,search,acquisition,2726,154,3,1687.34,1679.17,0.9952,10.0
MC-10696,2024-04-05,IL,Netanya,Software Engineer,budget,Hebrew,search,retention,102768,5409,338,397.79,72049.47,181.1244,10.0
MC-10990,2024-04-05,BR,Fortaleza,Software Engineer,mid,Portuguese,email,acquisition,21120,666,28,302.54,29840.85,98.6344,4.0
MC-11297,2024-04-05,US,Chicago,Sales Rep,budget,English,social_media,re_engagement,80620,1869,96,8610.55,-2910.5392614695206,-0.338,3.0
MC-11328,2024-04-05,AU,Perth,Physician,premium,English,display,acquisition,37227,409,28,2433.58,151866.19,62.4044,9.0
MC-12783,2024-04-05,CA,Ottawa,Writer,mid,English,email,re_engagement,31666,879,11,1837.72,6620.89,3.6028,8.0
MC-12899,2024-04-05,FR,Bordeaux,Teacher,mid,French,social_media,acquisition,243757,4210,305,854.6,157934.5,184.8052,7.0
MC-10828,2024-04-06,CA,Calgary,Teacher,premium,English,social_media,retention,148002,3673,134,705.17,321161.4,455.4383,3.0
MC-11696,2024-04-06,US,Houston,Writer,mid,English,search,acquisition,14305,825,23,2086.22,11739.9,5.6274,7.0
MC-10620,2024-04-06,IL,Beer Sheva,Sales Rep,mid,Hebrew,search,retention,19404,1445,58,1764.2,33633.46,19.0644,1.0
MC-11674,2024-04-06,BR,Rio de Janeiro,Data Scientist,mid,Portuguese,social_media,retention,297242,5008,312,6700.69,300611.67,44.8628,2.0
MC-11205,2024-04-06,US,Chicago,Marketing Manager,mid,English,social_media,acquisition,500000,7627,160,2267.81,135705.37,59.8398,8.0
MC-11832,2024-04-06,IN,Delhi,Product Manager,mid,Hindi,social_media,awareness,87442,1603,78,877.87,62833.96,71.5755,7.0
MC-11405,2024-04-06,MX,Tijuana,Physician,mid,Spanish,social_media,re_engagement,86205,1963,25,3129.22,23756.32,7.5918,7.0
MC-11923,2024-04-06,BR,Fortaleza,Data Scientist,mid,Portuguese,display,retention,169311,1808,140,1789.68,177771.6,99.3315,8.0
MC-10093,2024-04-06,FR,Toulouse,Software Engineer,budget,French,social_media,acquisition,74387,1261,55,1095.33,12799.34,11.6854,
MC-12990,2024-04-07,CA,Montreal,Designer,premium,English,email,acquisition,101396,2464,190,10231.47,487148.99,47.6128,6.0
MC-11020,2024-04-07,MX,Monterrey,Sales Rep,budget,Spanish,influencer,acquisition,234280,5619,186,860.13,19563.36,22.7447,4.0
MC-10725,2024-04-07,US,Phoenix,Software Engineer,budget,English,search,acquisition,6951,549,31,697.17,5941.16,8.5218,7.0
MC-10566,2024-04-07,GB,Leeds,Physician,mid,English,display,re_engagement,231792,2912,146,3498.43,161715.92,46.2253,10.0
MC-12510,2024-04-07,US,Chicago,Product Manager,budget,English,social_media,awareness,52412,918,43,2346.42,6334.05,2.6995,
MC-11590,2024-04-07,GB,Birmingham,Accountant,mid,English,email,retention,6783,182,8,187.61,6758.63,36.0249,6.0
MC-11471,2024-04-07,US,Phoenix,HR Manager,budget,English,search,acquisition,175643,13872,193,460.02,18058.1,39.255,8.0
MC-10732,2024-04-07,US,Phoenix,Software Engineer,mid,English,social_media,awareness,18305,419,8,638.69,8847.82,13.8531,1.0
MC-12808,2024-04-07,IN,Bangalore,Marketing Manager,premium,Hindi,influencer,re_engagement,78130,2023,151,4402.63,700340.43,159.0732,6.0
MC-11724,2024-04-07,US,Chicago,Writer,premium,English,social_media,awareness,16302,308,8,5191.31,22313.56,4.2983,10.0
MC-10295,2024-04-07,ES,Valencia,Architect,mid,Spanish,content_marketing,awareness,37899,798,25,176.83,28156.59,159.2297,4.0
MC-11136,2024-04-07,CA,Ottawa,HR Manager,premium,English,content_marketing,awareness,20982,458,10,1850.32,26417.78,14.2774,10.0
MC-10478,2024-04-07,FR,Marseille,Physician,premium,French,email,acquisition,5188,172,13,2049.8,85007.17,41.471,10.0
